temps,info
2021-07-05 16:22:37,GET /recours 200 14218 - 9.382 ms

2021-07-05 16:22:37,GET /main.js 404 146 - 2.419 ms

2021-07-05 16:23:04,GET /recours 200 14223 - 17.984 ms

2021-07-05 16:23:04,GET /main.js 404 146 - 2.339 ms

2021-07-05 16:23:38,GET /recours 200 14206 - 4.138 ms

2021-07-05 16:23:38,GET /main.js 404 146 - 2.659 ms

2021-07-05 16:24:10,GET /recours 200 14234 - 7.295 ms

2021-07-05 16:24:11,GET /main.js 404 146 - 2.212 ms

2021-07-05 16:24:34,GET /recours 200 14198 - 6.554 ms

2021-07-05 16:24:34,GET /main.js 404 146 - 1.822 ms

2021-07-05 16:26:40,GET /recours 200 14189 - 7.292 ms

2021-07-05 16:26:40,GET /main.js 404 146 - 4.178 ms

2021-07-05 16:27:46,GET /recours 200 14212 - 12.083 ms

2021-07-05 16:27:46,GET /main.js 404 146 - 3.037 ms

2021-07-05 16:28:46,GET /recours 200 14217 - 15.862 ms

2021-07-05 16:28:47,GET /main.js 404 146 - 2.803 ms

2021-07-05 16:29:56,GET /recours 200 14203 - 10.638 ms

2021-07-05 16:29:57,GET /main.js 404 146 - 2.346 ms

2021-07-05 16:30:38,GET /recours 200 14220 - 4.148 ms

2021-07-05 16:30:38,GET /main.js 404 146 - 6.040 ms

2021-07-05 16:30:59,GET /recours 200 14260 - 5.500 ms

2021-07-05 16:30:59,GET /main.js 404 146 - 2.110 ms

2021-07-05 16:31:20,GET /recours 200 14288 - 13.993 ms

2021-07-05 16:31:20,GET /main.js 404 146 - 2.137 ms

2021-07-05 16:31:50,GET /recours 200 14267 - 6.323 ms

2021-07-05 16:31:50,GET /main.js 404 146 - 2.651 ms

2021-07-05 16:32:03,GET /recours 200 14237 - 12.485 ms

2021-07-05 16:32:03,GET /main.js 404 146 - 2.248 ms

2021-07-05 16:33:00,GET /recours 200 14289 - 13.856 ms

